2026-04-21 18:46:13 [info] [remote] powerMonitor unlock-screen; probing SSH controllers
2026-04-21 19:53:30 [info] [remote] powerMonitor unlock-screen; probing SSH controllers
2026-04-21 22:04:47 [info] [remote] powerMonitor unlock-screen; probing SSH controllers
2026-04-21 22:23:06 [info] [remote] powerMonitor unlock-screen; probing SSH controllers
2026-04-21 22:26:13 [info] [remote] powerMonitor resume; probing SSH controllers
2026-04-21 22:26:15 [info] [remote] powerMonitor unlock-screen; probing SSH controllers
2026-04-22 08:05:21 [info] [remote] powerMonitor resume; probing SSH controllers
2026-04-22 08:05:23 [info] [remote] powerMonitor unlock-screen; probing SSH controllers
2026-04-22 09:02:32 [info] [remote] powerMonitor resume; probing SSH controllers
2026-04-22 09:10:25 [info] [remote] powerMonitor resume; probing SSH controllers
2026-04-22 09:10:26 [info] [remote] powerMonitor unlock-screen; probing SSH controllers
2026-04-22 09:37:13 [info] [remote] powerMonitor resume; probing SSH controllers
2026-04-22 09:37:15 [info] [remote] powerMonitor unlock-screen; probing SSH controllers
2026-04-23 07:53:24 [info] [remote] powerMonitor resume; probing SSH controllers
2026-04-23 07:53:27 [info] [remote] powerMonitor unlock-screen; probing SSH controllers
2026-04-23 08:54:25 [info] [remote] powerMonitor resume; probing SSH controllers
2026-04-23 08:58:43 [info] [remote] powerMonitor resume; probing SSH controllers
2026-04-23 08:58:45 [info] [remote] powerMonitor unlock-screen; probing SSH controllers
2026-04-23 10:28:49 [info] [remote] powerMonitor resume; probing SSH controllers
2026-04-23 10:28:50 [info] [remote] powerMonitor unlock-screen; probing SSH controllers
2026-04-23 12:14:50 [info] [remote] powerMonitor unlock-screen; probing SSH controllers
2026-04-23 13:51:39 [info] [remote] powerMonitor resume; probing SSH controllers
2026-04-23 13:51:41 [info] [remote] powerMonitor unlock-screen; probing SSH controllers
2026-04-23 13:52:56 [info] [ClaudeSSHManager] Initialized with version <blob>
2026-04-23 15:12:21 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-04-23 15:24:37 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-04-23 15:39:34 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-23 15:43:13 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-23 17:58:11 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-23 17:58:14 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-23 19:33:11 [info] [remote] powerMonitor:resume; probing SSH controllers
2026-04-23 19:33:14 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-04-23 19:33:14 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-23 19:35:14 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-23 19:35:23 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-23 21:43:20 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-23 21:45:21 [info] [remote] powerMonitor:resume; probing SSH controllers
2026-04-23 21:45:22 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-04-23 21:45:24 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-23 23:38:00 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-24 07:05:47 [info] [remote] powerMonitor:resume; probing SSH controllers
2026-04-24 07:10:51 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-24 07:10:57 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-24 07:11:47 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-24 07:52:32 [info] [remote] powerMonitor:resume; probing SSH controllers
2026-04-24 07:52:34 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-04-24 07:52:35 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-24 07:54:11 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-24 08:07:02 [info] [remote] powerMonitor:resume; probing SSH controllers
2026-04-24 08:07:04 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-04-24 08:07:05 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-24 08:07:26 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-24 08:07:47 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-24 08:08:47 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-24 09:00:01 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-24 09:01:38 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-24 09:01:41 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-24 09:04:21 [info] [remote] powerMonitor:resume; probing SSH controllers
2026-04-24 09:04:23 [info] [remote] powerMonitor:unlock-screen; probing SSH controllers
2026-04-24 09:04:24 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-24 09:05:12 [info] [remote] network-interface change detected; probing SSH controllers
2026-04-24 09:18:07 [info] [remote] network-interface change detected; probing SSH controllers
